matched_aspect,matched_keywords,review_id,sentence,review,voted_up,voted_up_label,votes_up,weighted_vote_score,sentiment_label,sentiment_score
戦闘・アクション,武器,0,ゲームのコアである狩りの部分についてはほぼ不満は無く、色々な武器をその都度工夫して使い楽しめたの,"1300時間プレイして、最後のアルシュベルドが実装されて少しした頃に（２月下旬）プレイするのをやめたけど、巷で騒がれる様なクラッシュには全く遭遇せず、バグにもほぼ遭遇せず、最後まで普通に楽しめた。不満が全く無いわけではないが、ゲームのコアである狩りの部分についてはほぼ不満は無く、色々な武器をその都度工夫して使い楽しめたので、やはりMHのアクションは随一だなと改めて思った。
昨今のゲーマーは補助輪や運営による手厚いサポートを前提とした、ヨイショされた状態で、ただ単純に手軽に気持ちよくなる事でしかゲームを楽しめない人達が多いのだろうなと、批判内容を見ると思えてくる。こと負荷の重いPCゲームをやる場合、それなりの環境設定が必要になるのだが、その知識すらない人が大勢いたからこその問題の多さだったようにも思う。事実を言えば最適化の問題は昔も今も全く変わらない。しかしながら現代では元来自己責任としてあった側面が欠落してしまっており、それが今回の様なネガティヴキャンペーンのスパイラルを生んでいるように思う。カプコンには企業としてこの問題が発生しないよう努力をする必要はあると思うが、今後も客である事を理由にあらゆるバッシングが正当化されるのであれば、中々恐ろしい市場になったものだと呆れ果てる次第だ。",True,positive,0,0.495169073343276978,positive,0.9848
戦闘・アクション,アクション,0,やはりMHのアクションは随一だなと改めて思った。,"1300時間プレイして、最後のアルシュベルドが実装されて少しした頃に（２月下旬）プレイするのをやめたけど、巷で騒がれる様なクラッシュには全く遭遇せず、バグにもほぼ遭遇せず、最後まで普通に楽しめた。不満が全く無いわけではないが、ゲームのコアである狩りの部分についてはほぼ不満は無く、色々な武器をその都度工夫して使い楽しめたので、やはりMHのアクションは随一だなと改めて思った。
昨今のゲーマーは補助輪や運営による手厚いサポートを前提とした、ヨイショされた状態で、ただ単純に手軽に気持ちよくなる事でしかゲームを楽しめない人達が多いのだろうなと、批判内容を見ると思えてくる。こと負荷の重いPCゲームをやる場合、それなりの環境設定が必要になるのだが、その知識すらない人が大勢いたからこその問題の多さだったようにも思う。事実を言えば最適化の問題は昔も今も全く変わらない。しかしながら現代では元来自己責任としてあった側面が欠落してしまっており、それが今回の様なネガティヴキャンペーンのスパイラルを生んでいるように思う。カプコンには企業としてこの問題が発生しないよう努力をする必要はあると思うが、今後も客である事を理由にあらゆるバッシングが正当化されるのであれば、中々恐ろしい市場になったものだと呆れ果てる次第だ。",True,positive,0,0.495169073343276978,positive,0.9439
戦闘・アクション,"武器, アクション",2,"ワールドよりもストレスが無いと感じた理由としては、

①クラッチクローがない
②モンスターの咆哮合戦による妨害がワールドと比べ、極めて少ない
③動きの遅い武器種でもハンターには相殺やカウンターアクションがあるので対応できる。","ネガティブな意見や評価を知った上でセールの際に購入しましたが、
セール価格であればワールドよりもストレス無くプレイできると思います。

ワールドよりもストレスが無いと感じた理由としては、

①クラッチクローがない
②モンスターの咆哮合戦による妨害がワールドと比べ、極めて少ない
③動きの遅い武器種でもハンターには相殺やカウンターアクションがあるので対応できる。
[b]④レウスがずっと飛び続けるようなことはなく、地上で戦ってくれるので剣攻撃が当たる[/b]

これだけでも、かなり戦闘のストレスが軽減されると思います。

しかし、不満点はあります。

①ストーリーに興味はないので、強制歩きはマスターランクではやめて頂きたい。
②支給品ボックスがなく、セクレトに乗っての支給品補充は不便なので、支給品ボックスを復活させてほしい。
③食事は食材を消費して注文する方式でなく、ワールドのようにお金か調査ポイントで支払って
料理を注文できるようにしてほしい。

以上が私の大きな不満点です。

③の食事については、食材を消費する方式にするならせめて商人から買えるようにして欲しいです。
普通に考えて食材を売る商人がいないのは世界観的にかなり不自然ではないでしょうか。
[b]食材を売る商人がいなければ、この世界の人達は自給自足の生活をしているということになりますが、
ハンターという大型モンスターを討伐する職業人がいる世界で、普通の人が危険なモンスターがいる森に行って
食材を取りに行くというのは危険極まりなく、そんなリスクを冒して皆さん暮らしているんですか？[/b]


最後に本作はオープンワールドですが、上位に入れば従来のエリア制のような感覚で
プレイできるのでマイナスな点はあまりないと思います。

[b]ワイルズは色々と批判の多い作品ですが、アクションゲームとしてかなり面白いと私は思いますので
購入をオススメします。[/b]",True,positive,3,0.501510560512542725,neutral,0.7784
戦闘・アクション,戦闘,2,かなり戦闘のストレスが軽減されると思います。,"ネガティブな意見や評価を知った上でセールの際に購入しましたが、
セール価格であればワールドよりもストレス無くプレイできると思います。

ワールドよりもストレスが無いと感じた理由としては、

①クラッチクローがない
②モンスターの咆哮合戦による妨害がワールドと比べ、極めて少ない
③動きの遅い武器種でもハンターには相殺やカウンターアクションがあるので対応できる。
[b]④レウスがずっと飛び続けるようなことはなく、地上で戦ってくれるので剣攻撃が当たる[/b]

これだけでも、かなり戦闘のストレスが軽減されると思います。

しかし、不満点はあります。

①ストーリーに興味はないので、強制歩きはマスターランクではやめて頂きたい。
②支給品ボックスがなく、セクレトに乗っての支給品補充は不便なので、支給品ボックスを復活させてほしい。
③食事は食材を消費して注文する方式でなく、ワールドのようにお金か調査ポイントで支払って
料理を注文できるようにしてほしい。

以上が私の大きな不満点です。

③の食事については、食材を消費する方式にするならせめて商人から買えるようにして欲しいです。
普通に考えて食材を売る商人がいないのは世界観的にかなり不自然ではないでしょうか。
[b]食材を売る商人がいなければ、この世界の人達は自給自足の生活をしているということになりますが、
ハンターという大型モンスターを討伐する職業人がいる世界で、普通の人が危険なモンスターがいる森に行って
食材を取りに行くというのは危険極まりなく、そんなリスクを冒して皆さん暮らしているんですか？[/b]


最後に本作はオープンワールドですが、上位に入れば従来のエリア制のような感覚で
プレイできるのでマイナスな点はあまりないと思います。

[b]ワイルズは色々と批判の多い作品ですが、アクションゲームとしてかなり面白いと私は思いますので
購入をオススメします。[/b]",True,positive,3,0.501510560512542725,positive,0.8826
戦闘・アクション,アクション,2,"アクションゲームとしてかなり面白いと私は思いますので
購入をオススメします。","ネガティブな意見や評価を知った上でセールの際に購入しましたが、
セール価格であればワールドよりもストレス無くプレイできると思います。

ワールドよりもストレスが無いと感じた理由としては、

①クラッチクローがない
②モンスターの咆哮合戦による妨害がワールドと比べ、極めて少ない
③動きの遅い武器種でもハンターには相殺やカウンターアクションがあるので対応できる。
[b]④レウスがずっと飛び続けるようなことはなく、地上で戦ってくれるので剣攻撃が当たる[/b]

これだけでも、かなり戦闘のストレスが軽減されると思います。

しかし、不満点はあります。

①ストーリーに興味はないので、強制歩きはマスターランクではやめて頂きたい。
②支給品ボックスがなく、セクレトに乗っての支給品補充は不便なので、支給品ボックスを復活させてほしい。
③食事は食材を消費して注文する方式でなく、ワールドのようにお金か調査ポイントで支払って
料理を注文できるようにしてほしい。

以上が私の大きな不満点です。

③の食事については、食材を消費する方式にするならせめて商人から買えるようにして欲しいです。
普通に考えて食材を売る商人がいないのは世界観的にかなり不自然ではないでしょうか。
[b]食材を売る商人がいなければ、この世界の人達は自給自足の生活をしているということになりますが、
ハンターという大型モンスターを討伐する職業人がいる世界で、普通の人が危険なモンスターがいる森に行って
食材を取りに行くというのは危険極まりなく、そんなリスクを冒して皆さん暮らしているんですか？[/b]


最後に本作はオープンワールドですが、上位に入れば従来のエリア制のような感覚で
プレイできるのでマイナスな点はあまりないと思います。

[b]ワイルズは色々と批判の多い作品ですが、アクションゲームとしてかなり面白いと私は思いますので
購入をオススメします。[/b]",True,positive,3,0.501510560512542725,positive,0.8778
戦闘・アクション,戦闘,3,しかしアップデートで追加されたモンスター達との戦闘は不快な要素が多く、特にランスを愛用していた私にとってはラギアクルスやゴグマジオス等の異常なガード削りがとてもきつかった。,"最初はコンテンツの少なさが目立ちつつも、今までにない新鮮さと料理や釣りなどが新しくなったこのゲーム特有の小さな面白さを見つけつつ楽しい狩猟ライフを送り、世間の評判が悪くても良いゲームだと信じて遊んでいました。
しかしアップデートで追加されたモンスター達との戦闘は不快な要素が多く、特にランスを愛用していた私にとってはラギアクルスやゴグマジオス等の異常なガード削りがとてもきつかった。
対策自体はあるもののそれを前提として立ち回らねばならない狩りは楽しさがなく不愉快だった。
さらにスルー出来るモンスターならともかくエンドコンテンツを触れるうえで避けては通れない相手でもあるので好きな武器を使えず、使ったら面白くないという状態がずっと続き、流石に楽しさを見出すのが難しくなりました。
信じていただけにとても残念です。",False,negative,5,0.516129016876220703,negative,0.9926
戦闘・アクション,武器,3,さらにスルー出来るモンスターならともかくエンドコンテンツを触れるうえで避けては通れない相手でもあるので好きな武器を使えず、使ったら面白くないという状態がずっと続き、流石に楽しさを見出すのが難しくなりました。,"最初はコンテンツの少なさが目立ちつつも、今までにない新鮮さと料理や釣りなどが新しくなったこのゲーム特有の小さな面白さを見つけつつ楽しい狩猟ライフを送り、世間の評判が悪くても良いゲームだと信じて遊んでいました。
しかしアップデートで追加されたモンスター達との戦闘は不快な要素が多く、特にランスを愛用していた私にとってはラギアクルスやゴグマジオス等の異常なガード削りがとてもきつかった。
対策自体はあるもののそれを前提として立ち回らねばならない狩りは楽しさがなく不愉快だった。
さらにスルー出来るモンスターならともかくエンドコンテンツを触れるうえで避けては通れない相手でもあるので好きな武器を使えず、使ったら面白くないという状態がずっと続き、流石に楽しさを見出すのが難しくなりました。
信じていただけにとても残念です。",False,negative,5,0.516129016876220703,negative,0.9879
戦闘・アクション,武器,5,"まず、マルチの仕方がわかりずらい（ソロオンラインとか説明なしで言われてもソロなのかマルチなのかわからない、ストーリー進行させるときにマルチができるようになるタイミングと出来ないときとがわかりずらい、わからないことばかりでマルチが億劫になって結局ソロでしか遊ぶ気にならない）

マップが見ずらい

セクレトの操作がわかりずらい

今までのモンハンと違って、クエストを受注してクリアしてじゃなくて勝手にストーリーが進んで勝手にモンスターが出てきてなんか知らないうちに終わってるでモンハンしてる感じがしない

キャンプが奥まったところにあってわかりずらいしいちいち手間

動いてるNPCに当たり判定があるの邪魔すぎ

武器を知らない集落的な設定なのに、装飾品で頭に角つけたり獣の爪みたいな装飾つけてたりで設定が破綻しすぎ

相殺や鍔迫り合いの有無で武器格差を作る必要なさすぎ（新要素ならそれを全武器で楽しめるようにしてほしかった）

食事の仕様がかなり変わってるのにチュートリアルが足りない

今までのモンハンと比べて施設がばらけてたりぱっと見でどこで何ができるかわからなくてストレス

マップでかすぎだし三層構造にしてるとこある上にマップの仕様と見づらさが相まってストレスフルで疲れる

武器生産のページが見ずらい分かりずらい

ボックスの防具のページで今までの作品はアイコンで分かりやすくコンパクトに表示できていたのに、変におしゃれにしようとしたのか防具をアイコンじゃなく写真で表示するようになったせいで見ずらい選びずらい分かりずらいの三拍子そろって最悪

ストーリーのどうでもいい部分で尺取りすぎ（セクレト乗ってのろのろ散歩しながら会話するところとか特に）

とかほかにもいろいろあって、なんかもう嫌になってきた。","2日前にワイルズを買って始めたけど10時間ちょっと遊んだけど、不満点がどんどん出てくるしストレスフルなゲームだった。

まず、マルチの仕方がわかりずらい（ソロオンラインとか説明なしで言われてもソロなのかマルチなのかわからない、ストーリー進行させるときにマルチができるようになるタイミングと出来ないときとがわかりずらい、わからないことばかりでマルチが億劫になって結局ソロでしか遊ぶ気にならない）

マップが見ずらい

セクレトの操作がわかりずらい

今までのモンハンと違って、クエストを受注してクリアしてじゃなくて勝手にストーリーが進んで勝手にモンスターが出てきてなんか知らないうちに終わってるでモンハンしてる感じがしない

キャンプが奥まったところにあってわかりずらいしいちいち手間

動いてるNPCに当たり判定があるの邪魔すぎ

武器を知らない集落的な設定なのに、装飾品で頭に角つけたり獣の爪みたいな装飾つけてたりで設定が破綻しすぎ

相殺や鍔迫り合いの有無で武器格差を作る必要なさすぎ（新要素ならそれを全武器で楽しめるようにしてほしかった）

食事の仕様がかなり変わってるのにチュートリアルが足りない

今までのモンハンと比べて施設がばらけてたりぱっと見でどこで何ができるかわからなくてストレス

マップでかすぎだし三層構造にしてるとこある上にマップの仕様と見づらさが相まってストレスフルで疲れる

武器生産のページが見ずらい分かりずらい

ボックスの防具のページで今までの作品はアイコンで分かりやすくコンパクトに表示できていたのに、変におしゃれにしようとしたのか防具をアイコンじゃなく写真で表示するようになったせいで見ずらい選びずらい分かりずらいの三拍子そろって最悪

ストーリーのどうでもいい部分で尺取りすぎ（セクレト乗ってのろのろ散歩しながら会話するところとか特に）

とかほかにもいろいろあって、なんかもう嫌になってきた。
発売当時と比べていろいろアプデされて改善されたと聞いて買いましたが、全然だめ。

こういうのは実写化の映画とかドラマとかで勝手にやってほしい、俺はモンハンをしたくて買ったのであってドラマを見たくてモンハンしてるわけではない

",False,negative,13,0.559061825275421143,negative,0.981
戦闘・アクション,装備,6,しかも防具は5つまで装備できるだけであって、組み合わせによっては50個ほどレベルをMAXにする必要があります。,"一つどうしても許せない点があります。
それは鎧玉の絞り具合です。コンテンツが少ないからか、初期の異常に絞った結果、今でも改善されておりません。
防具のレベルが全然上がらないモンハンなんてやったことがありません。
一応それらしいクエストがあるものの、1回クエストクリアして、防具のレベルが１上がるぐらいしか手に入りません。1つの防具をレベルマックスにするのに10回以上虚無なクエストをする。
本当に意味が分かりません。鎧玉集めがエンドコンテンツになっています。しかも防具は5つまで装備できるだけであって、組み合わせによっては50個ほどレベルをMAXにする必要があります。
先ほど書いたクエスト以外ではクリアしても1上がらないことが9割を超えております。
装備のレベルを上げるのなんて面白くありません。",False,negative,7,0.501061558723449707,neutral,0.7594
戦闘・アクション,装備,6,装備のレベルを上げるのなんて面白くありません。,"一つどうしても許せない点があります。
それは鎧玉の絞り具合です。コンテンツが少ないからか、初期の異常に絞った結果、今でも改善されておりません。
防具のレベルが全然上がらないモンハンなんてやったことがありません。
一応それらしいクエストがあるものの、1回クエストクリアして、防具のレベルが１上がるぐらいしか手に入りません。1つの防具をレベルマックスにするのに10回以上虚無なクエストをする。
本当に意味が分かりません。鎧玉集めがエンドコンテンツになっています。しかも防具は5つまで装備できるだけであって、組み合わせによっては50個ほどレベルをMAXにする必要があります。
先ほど書いたクエスト以外ではクリアしても1上がらないことが9割を超えております。
装備のレベルを上げるのなんて面白くありません。",False,negative,7,0.501061558723449707,neutral,0.658
